,Central Europe and the Baltics,United Kingdom,United States,Argentina,Australia,Brazil,China,Canada,France,Germany,India,Indonesia,Italy,Japan,Mexico,Russian Federation,Saudi Arabia,South Africa,"Korea, Rep.",Turkey
1960,0.0,21.5926924218601,4.19657647708448,7.60404697912324,14.0465004216359,7.11728554327239,4.42827018570165,18.135559267776,12.5691723938445,0.0,6.90979952297875,12.5576627370579,12.863109936847,10.2879603876459,11.6492373566272,0.0,0.0,24.5610792829421,11.9796669868716,3.67107195301028
1961,0.0,20.2398907737527,4.02982424995562,5.99494531619397,15.0113895216401,7.33945907077904,3.48941004625497,18.0517669285716,12.3388102552784,0.0,6.02394006423859,13.6141246543289,12.8630473309216,10.9016397882152,10.6197901476563,0.0,0.0,21.2993854258121,13.9632023868722,6.78670360110803
1962,0.0,19.6212735050391,4.13154850437944,9.38368289056535,12.6160076494741,5.18897394767796,2.9082774049217,17.7928988202694,12.1168866838833,0.0,6.09900552554242,5.39285446783012,13.204958952335,9.2907963384168,10.0947529527518,0.0,0.0,20.658978583196,15.5982613925262,7.97011207970112
1963,0.0,19.7224543776779,4.08706545568431,7.89045203275027,13.8175007803558,9.11100002127562,2.85988944965153,17.4494600662853,12.4670893684467,0.0,5.97263288425928,9.34928945400149,14.3435765613968,9.876335325346,9.96749237851682,0.0,0.0,23.1912048729758,14.6565857233784,6.97424892703863
1964,0.0,20.4268201699768,4.09740449110528,5.56371407476368,13.7476459510358,5.6776000056402,2.86414041771549,18.1545167335744,13.049451022047,0.0,5.7483250518643,13.0651153010444,12.7134422159254,9.69088134685684,9.85826902219297,0.0,0.0,25.5195681511471,12.3811841696075,5.46719681908549
1965,0.0,19.3935705930505,4.23557886244453,4.15058297228058,15.2489000086274,5.55592484290456,3.18915801614764,18.6531211721319,12.5741333538459,0.0,5.26961511165296,5.73597638127372,12.1270491558464,9.13500270613893,9.52716187918558,0.0,0.0,26.7786561264822,14.3326315789474,5.3953488372093
1966,0.0,18.8996534324654,4.5521472392638,4.98968803354159,15.1153246326849,5.99166922704867,3.23502938529147,19.3063082692355,13.2487383966344,0.0,6.74600525303779,22.0955998733777,13.0073132741033,9.03061242779444,9.00746642017465,0.0,0.0,23.1388101983003,18.2207961571299,5.66483084185681
1967,0.0,19.5146815417295,4.63038180341186,4.99706414666865,13.8791738762287,5.7689710655619,2.97625682755546,19.2523871025233,13.1040467393871,0.0,6.01285925887526,16.8671856569946,13.4986029609455,9.44983916092604,9.01068730161073,0.0,0.0,24.2251803678488,19.6846016782663,4.9645390070922
1968,0.0,21.4962821997945,4.94429708222812,5.40371142251908,14.4721965258506,6.61038441129829,2.91841064159165,19.9826647754275,13.4614928423301,0.0,4.99803508973889,15.5768588734678,13.2733041897865,9.01347454805823,9.35249426910132,0.0,24.715255368245,22.2295328508318,22.6426131864755,5.07936507936508
1969,0.0,21.0722491021274,4.95146582998333,6.3987133165299,13.319891241255,6.55371309699865,2.40546325552951,21.1429191684468,14.8020062447772,0.0,4.07583589412231,14.8270787343635,14.5464854541615,8.97994676059283,9.26079150806661,0.0,24.9425757933987,22.4678791923911,22.4584738636261,4.73744292237443
