,Central Europe and the Baltics,United Kingdom,United States,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Mexico,Russian Federation,Saudi Arabia,South Africa,"Korea, Rep.",Turkey
1960,0.0,20.20795819176,4.96963003865268,7.60404910825644,12.980363811589,7.05904647646368,16.9660556577484,4.30582953540576,14.3962825606565,0.0,4.51004475733941,11.5325474115838,12.4974832046447,10.7229408129351,8.49498872869896,0.0,0.0,29.5509148031787,2.62167787383926,2.05580029368576
1961,0.0,19.8952614169071,4.8996982069945,5.9949469947787,12.3917995444191,7.27940794590105,17.7529151284194,3.87081067921772,13.9191861789575,0.0,4.34879810440548,11.0614762816422,12.7924035044913,9.27792129717682,8.41608054061509,0.0,0.0,29.3239683933275,4.04110724349412,5.12465373961219
1962,0.0,19.4231000587726,4.80912245909767,4.69184275899831,13.9265425501997,3.86876017137378,17.7825630998187,4.05265875064533,12.8329879563643,0.0,4.21277302424343,5.1681521983372,12.6705820051651,9.43095519799551,8.55725121831232,0.0,0.0,29.4069192751236,3.87359558240617,5.60398505603985
1963,0.0,19.3240440726467,4.87002818665832,7.89045420262462,12.9903235875559,9.03645424482606,18.2530864927232,4.00544740847553,12.5957667651555,0.0,4.32547279977723,9.06881077038145,12.1648892158775,9.03785850884461,8.33176668200253,0.0,0.0,28.6138760956767,3.94622639689857,4.18454935622318
1964,0.0,18.7296521595391,5.10352872557597,5.56371560478508,14.9199623352166,6.38540927082227,19.1876247432112,3.76896387509354,12.6368545647088,0.0,3.7646904609763,12.2520501857433,12.8182632951046,9.49411062251397,7.63681920242095,0.0,0.0,27.4358974358974,4.96356089184548,4.47316103379722
1965,0.0,18.5120424545618,4.98857066021245,6.22587443766796,13.2042101630575,7.73576138413985,18.5361076568744,3.63898500576701,13.2292212463374,0.0,3.34221988944031,5.2762547448334,14.2891816966252,10.5176731688727,7.63784698579624,0.0,0.0,25.7040513833992,7.13022556390977,4.55813953488372
1966,0.0,18.7531405373601,5.01840490797546,6.65291738359955,12.9196421242715,6.82473507896306,19.3370650966339,3.4944670937682,13.2884135319226,0.0,4.18607079315179,12.7572016460905,14.698292555773,10.5782104657665,7.46572987429302,0.0,0.0,25.2804532577904,8.44380646795575,4.0912667191188
1967,0.0,18.4760516243004,5.04816061274225,7.4955962262493,12.8704487722269,5.7689710655619,20.2686094918947,3.27722661910601,13.1449321780713,0.0,4.07682941010105,8.77565463552725,14.4631802456824,9.65383114287984,6.86867816602687,0.0,0.0,24.5706737120211,9.11548360568356,4.11347517730496
1968,0.0,20.6995154973438,5.08222811671088,6.48445346277515,12.2862918422585,6.00052600864501,21.1972331870564,3.3025629264377,13.1742493206123,0.0,4.08120086799565,10.8694615347928,15.2407957181034,10.1119053036465,7.03705863089416,0.0,47.733686087562,25.2467337155748,10.1457153999787,3.68253968253968
1969,0.0,21.4833629003566,5.08873418962643,6.3987133165299,11.9420768032261,6.6204037968306,21.2454616315563,3.04759963306493,14.0116224489398,0.0,3.75285910514886,9.0139808682855,15.8441183215368,10.5561704838264,7.53818026413782,0.0,48.1901842323447,23.0018354747205,10.6141437523171,3.5958904109589
1970,0.0,21.3425791996474,5.54985481706206,5.601566676004,12.9633144437515,7.02943634908589,21.9222329782174,2.49155590647892,15.7982793482139,15.1700213743282,3.82256604906608,12.8443113772455,15.2108516773503,10.59532734291,7.7498799157452,0.0,50.801719150343,21.1994527211919,11.4462573350508,4.42748091603053
1971,0.0,21.4235532369372,5.39181516908295,6.00723288128889,12.6487209994051,6.41330674313925,21.0688609031233,2.78806626236314,16.3152021720435,14.6001387452274,3.70573154399163,14.4199346405229,15.6286688541771,11.4838482052676,7.64023664774872,0.0,53.9845519123988,21.2748401292718,12.6845891707686,5.31958762886598
1972,0.0,20.1948415963793,5.52411830801849,7.19776583908352,12.8136583174211,7.259175691336,21.2896533610173,3.24792352295878,16.4831247533324,14.5930156736184,4.06980060188705,16.5162138475022,16.3644281490667,10.3773738821892,8.0640805770581,0.0,61.5837827042141,24.631502009989,16.6134560307996,6.01867865790384
1973,0.0,21.969221187368,6.66900470337384,7.61266772119213,14.1416576272548,8.27167782462644,22.771378123378,4.24134678180103,17.3947074791413,15.3974036525952,4.25297893074129,20.0536026297865,16.1557007109172,9.8406571940074,8.41333506443054,0.0,99.7039924915168,24.6237088047221,23.9430488800218,7.03296703296703
1974,0.0,26.2492924940181,8.17723112682195,6.9025707976099,13.1376092037863,8.01311941176138,24.0813045173326,4.92980160554514,20.4873358371295,18.2870297959623,4.88207710819158,28.9979454613373,18.5818185027158,13.3344404219244,8.41140691611978,0.0,62.9360609368797,27.1611355457817,22.2591657254534,5.72811617587737
1975,0.0,24.8605762578472,8.21274859777503,5.82405179865594,14.2698633407773,7.53857281945099,22.0384529179154,4.70472117124527,18.7052062204192,17.1575951576623,5.70638814312491,22.547755586316,18.7907045839005,12.547058966293,6.89414242882459,0.0,73.333738527928,26.8431136024977,22.6899315570532,4.42134657151722
1976,0.0,27.4151079181151,7.96314631492442,9.17538829665278,13.5128968730487,7.03571355665957,21.7567501470719,4.51047313123201,19.2102731784749,18.1212991875784,6.75675893878404,22.1740901420471,20.107248499213,13.29176390419,8.49002854405897,0.0,59.7295742232451,26.884287913538,25.5571281880498,4.85908649173955
1977,0.0,29.0389507744536,7.63920149610418,9.6158924127723,14.011234786227,7.25236847121218,22.7746945974611,4.29846153846154,20.1031547679018,18.0292954608651,6.45023109996077,23.4909813946883,21.446385001177,12.839193488707,10.3176255055596,0.0,57.420627788973,29.3077597668958,26.0260362953084,3.81520401401117
1978,0.0,27.4164631229198,7.93037850334236,8.6083899381245,13.6176577057176,6.67557886823388,24.6061320004532,4.55595726751298,20.1058261590825,17.6851398487857,6.38116649653659,21.8671414754243,21.7464000003633,10.9020085024605,10.4691888360129,0.0,49.3167100937806,31.3854784341707,24.913380036846,4.14691194133637
1979,0.0,26.796426700371,8.74302801937433,6.51091546668746,14.2998002679948,7.12390494963595,26.4071040272949,5.16278502621631,20.5790751821345,17.8735353545983,6.8205474058649,30.0658227531897,22.4550769011095,11.3413070318284,11.190915369598,0.0,54.8563858934186,34.1663404684893,23.4691438875939,3.21802670890177
1980,0.0,26.0503659033225,9.80864662245131,5.06197268096631,16.4230917903125,9.05272982472942,27.5872778967766,5.911587758305,20.8448162114335,18.6723219396538,6.20405102774375,30.4741702735352,20.2490853874941,13.4249721119369,10.7052984347257,0.0,63.4558013522574,34.3411524416662,28.4558654009369,5.16193170955531
