SERIES,DESCRIPTION,,,,,,,,,,,,,
XUDLBK23,Spot exchange rate - Cyprus Pound into Euro,,,,,,,,,,,,,
XUDLBK26,Spot exchange rate - Czech Koruna into Euro,,,,,,,,,,,,,
XUDLBK29,Spot exchange rate - Estonian Kroon into Euro,,,,,,,,,,,,,
XUDLBK34,Spot exchange rate - Hungarian Forint into Euro,,,,,,,,,,,,,
XUDLBK37,Spot exchange rate - Lithuanian Litas into Euro,,,,,,,,,,,,,
XUDLBK42,Spot exchange rate - Latvian Lats into Euro,,,,,,,,,,,,,
Currency joined the Euro on 01/01/2014,,,,,,,,,,,,,,
XUDLBK45,Spot exchange rate - Maltese Lira into Euro,,,,,,,,,,,,,
XUDLBK48,Spot exchange rate - Polish Zloty into Euro,,,,,,,,,,,,,
XUDLBK53,Spot exchange rate - Slovenian Tolar into Euro,,,,,,,,,,,,,
XUDLBK56,Spot exchange rate - Slovak Koruna into Euro,,,,,,,,,,,,,
XUDLBK63,Spot exchange rate - Japanese Yen into Euro,,,,,,,,,,,,,
XUDLBK68,Spot exchange rate - Swiss Franc into Euro,,,,,,,,,,,,,
XUDLBK76,Spot exchange rate - Danish Krone into Euro,,,,,,,,,,,,,
XUDLSER,Spot exchange rate - Sterling into Euro,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DATE,XUDLBK23,XUDLBK26,XUDLBK29,XUDLBK34,XUDLBK37,XUDLBK42,XUDLBK45,XUDLBK48,XUDLBK53,XUDLBK56,XUDLBK63,XUDLBK68,XUDLBK76,XUDLSER
02-Jan-75,,,,,,,,,,,,,,0.5609
03-Jan-75,,,,,,,,,,,,,,0.5631
06-Jan-75,,,,,,,,,,,,,,0.5651
07-Jan-75,,,,,,,,,,,,,,0.5654
08-Jan-75,,,,,,,,,,,,,,0.5637
09-Jan-75,,,,,,,,,,,,,,0.5636
10-Jan-75,,,,,,,,,,,,,,0.5642
13-Jan-75,,,,,,,,,,,,,,0.5634
14-Jan-75,,,,,,,,,,,,,,0.5615
15-Jan-75,,,,,,,,,,,,,,0.5626
16-Jan-75,,,,,,,,,,,,,,0.5631
17-Jan-75,,,,,,,,,,,,,,0.5637
20-Jan-75,,,,,,,,,,,,,,0.5656
21-Jan-75,,,,,,,,,,,,,,0.5651
22-Jan-75,,,,,,,,,,,,,,0.564
23-Jan-75,,,,,,,,,,,,,,0.5673
24-Jan-75,,,,,,,,,,,,,,0.5682
27-Jan-75,,,,,,,,,,,,,,0.5691
28-Jan-75,,,,,,,,,,,,,,0.5705
29-Jan-75,,,,,,,,,,,,,,0.5678
30-Jan-75,,,,,,,,,,,,,,0.5675
31-Jan-75,,,,,,,,,,,,,,0.5658
03-Feb-75,,,,,,,,,,,,,,0.5652
04-Feb-75,,,,,,,,,,,,,,0.5615
05-Feb-75,,,,,,,,,,,,,,0.5617
06-Feb-75,,,,,,,,,,,,,,0.5634
07-Feb-75,,,,,,,,,,,,,,0.5634
10-Feb-75,,,,,,,,,,,,,,0.5633
11-Feb-75,,,,,,,,,,,,,,0.5643
12-Feb-75,,,,,,,,,,,,,,0.5636
13-Feb-75,,,,,,,,,,,,,,0.5667
14-Feb-75,,,,,,,,,,,,,,0.5666
17-Feb-75,,,,,,,,,,,,,,0.5678
18-Feb-75,,,,,,,,,,,,,,0.5672
19-Feb-75,,,,,,,,,,,,,,0.5655
20-Feb-75,,,,,,,,,,,,,,0.5678
21-Feb-75,,,,,,,,,,,,,,0.5678
24-Feb-75,,,,,,,,,,,,,,0.5669
25-Feb-75,,,,,,,,,,,,,,0.5665
26-Feb-75,,,,,,,,,,,,,,0.5685
27-Feb-75,,,,,,,,,,,,,,0.5701
28-Feb-75,,,,,,,,,,,,,,0.57
03-Mar-75,,,,,,,,,,,,,,0.5699
04-Mar-75,,,,,,,,,,,,,,0.5675
05-Mar-75,,,,,,,,,,,,,,0.5671
06-Mar-75,,,,,,,,,,,,,,0.5661
07-Mar-75,,,,,,,,,,,,,,0.5654
10-Mar-75,,,,,,,,,,,,,,0.5661
11-Mar-75,,,,,,,,,,,,,,0.5664
12-Mar-75,,,,,,,,,,,,,,0.5654
13-Mar-75,,,,,,,,,,,,,,0.5649
14-Mar-75,,,,,,,,,,,,,,0.5659
17-Mar-75,,,,,,,,,,,,,,0.5658
18-Mar-75,,,,,,,,,,,,,,0.5665
19-Mar-75,,,,,,,,,,,,,,0.5672
20-Mar-75,,,,,,,,,,,,,,0.5663
21-Mar-75,,,,,,,,,,,,,,0.5654
24-Mar-75,,,,,,,,,,,,,,0.5646
25-Mar-75,,,,,,,,,,,,,,0.5644
26-Mar-75,,,,,,,,,,,,,,0.5637
27-Mar-75,,,,,,,,,,,,,,0.5644
01-Apr-75,,,,,,,,,,,,,,0.5649
02-Apr-75,,,,,,,,,,,,,,0.5651
03-Apr-75,,,,,,,,,,,,,,0.5645
04-Apr-75,,,,,,,,,,,,,,0.5628
07-Apr-75,,,,,,,,,,,,,,0.5657
08-Apr-75,,,,,,,,,,,,,,0.5671
09-Apr-75,,,,,,,,,,,,,,0.5675
10-Apr-75,,,,,,,,,,,,,,0.5675
11-Apr-75,,,,,,,,,,,,,,0.5674
14-Apr-75,,,,,,,,,,,,,,0.5679
15-Apr-75,,,,,,,,,,,,,,0.5679
16-Apr-75,,,,,,,,,,,,,,0.5683
17-Apr-75,,,,,,,,,,,,,,0.5683
18-Apr-75,,,,,,,,,,,,,,0.5668
21-Apr-75,,,,,,,,,,,,,,0.5689
22-Apr-75,,,,,,,,,,,,,,0.572
23-Apr-75,,,,,,,,,,,,,,0.5718
24-Apr-75,,,,,,,,,,,,,,0.5736
25-Apr-75,,,,,,,,,,,,,,0.5731
28-Apr-75,,,,,,,,,,,,,,0.5734
29-Apr-75,,,,,,,,,,,,,,0.5736
30-Apr-75,,,,,,,,,,,,,,0.5749
01-May-75,,,,,,,,,,,,,,0.576
02-May-75,,,,,,,,,,,,,,0.5773
05-May-75,,,,,,,,,,,,,,0.579
06-May-75,,,,,,,,,,,,,,0.58
07-May-75,,,,,,,,,,,,,,0.5819
08-May-75,,,,,,,,,,,,,,0.5848
09-May-75,,,,,,,,,,,,,,0.5883
12-May-75,,,,,,,,,,,,,,0.5926
13-May-75,,,,,,,,,,,,,,0.596
14-May-75,,,,,,,,,,,,,,0.5952
15-May-75,,,,,,,,,,,,,,0.5916
16-May-75,,,,,,,,,,,,,,0.5925
19-May-75,,,,,,,,,,,,,,0.594
20-May-75,,,,,,,,,,,,,,0.5936
21-May-75,,,,,,,,,,,,,,0.5942
22-May-75,,,,,,,,,,,,,,0.5921
23-May-75,,,,,,,,,,,,,,0.592
27-May-75,,,,,,,,,,,,,,0.5924
28-May-75,,,,,,,,,,,,,,0.593
29-May-75,,,,,,,,,,,,,,0.5935
30-May-75,,,,,,,,,,,,,,0.5916
02-Jun-75,,,,,,,,,,,,,,0.5914
03-Jun-75,,,,,,,,,,,,,,0.5931
04-Jun-75,,,,,,,,,,,,,,0.5927
05-Jun-75,,,,,,,,,,,,,,0.5919
06-Jun-75,,,,,,,,,,,,,,0.5914
09-Jun-75,,,,,,,,,,,,,,0.5917
10-Jun-75,,,,,,,,,,,,,,0.5945
11-Jun-75,,,,,,,,,,,,,,0.6019
12-Jun-75,,,,,,,,,,,,,,0.6044
13-Jun-75,,,,,,,,,,,,,,0.6016
16-Jun-75,,,,,,,,,,,,,,0.6047
17-Jun-75,,,,,,,,,,,,,,0.607
18-Jun-75,,,,,,,,,,,,,,0.605
19-Jun-75,,,,,,,,,,,,,,0.6044
20-Jun-75,,,,,,,,,,,,,,0.6051
23-Jun-75,,,,,,,,,,,,,,0.6039
24-Jun-75,,,,,,,,,,,,,,0.6078
25-Jun-75,,,,,,,,,,,,,,0.6085
26-Jun-75,,,,,,,,,,,,,,0.6102
27-Jun-75,,,,,,,,,,,,,,0.6141
30-Jun-75,,,,,,,,,,,,,,0.6236
01-Jul-75,,,,,,,,,,,,,,0.6141
02-Jul-75,,,,,,,,,,,,,,0.612
03-Jul-75,,,,,,,,,,,,,,0.6121
04-Jul-75,,,,,,,,,,,,,,0.6119
07-Jul-75,,,,,,,,,,,,,,0.6117
08-Jul-75,,,,,,,,,,,,,,0.6097
09-Jul-75,,,,,,,,,,,,,,0.6073
10-Jul-75,,,,,,,,,,,,,,0.6047
11-Jul-75,,,,,,,,,,,,,,0.6018
14-Jul-75,,,,,,,,,,,,,,0.6021
15-Jul-75,,,,,,,,,,,,,,0.6025
16-Jul-75,,,,,,,,,,,,,,0.5991
17-Jul-75,,,,,,,,,,,,,,0.5969
18-Jul-75,,,,,,,,,,,,,,0.5959
21-Jul-75,,,,,,,,,,,,,,0.5935
22-Jul-75,,,,,,,,,,,,,,0.5926
23-Jul-75,,,,,,,,,,,,,,0.5871
24-Jul-75,,,,,,,,,,,,,,0.5866
25-Jul-75,,,,,,,,,,,,,,0.588
28-Jul-75,,,,,,,,,,,,,,0.5849
29-Jul-75,,,,,,,,,,,,,,0.5834
30-Jul-75,,,,,,,,,,,,,,0.5849
31-Jul-75,,,,,,,,,,,,,,0.5874
01-Aug-75,,,,,,,,,,,,,,0.5879
04-Aug-75,,,,,,,,,,,,,,0.5904
05-Aug-75,,,,,,,,,,,,,,0.5934
06-Aug-75,,,,,,,,,,,,,,0.5946
07-Aug-75,,,,,,,,,,,,,,0.5981
08-Aug-75,,,,,,,,,,,,,,0.5989
11-Aug-75,,,,,,,,,,,,,,0.5981
12-Aug-75,,,,,,,,,,,,,,0.5975
13-Aug-75,,,,,,,,,,,,,,0.5971
14-Aug-75,,,,,,,,,,,,,,0.598
15-Aug-75,,,,,,,,,,,,,,0.5983
18-Aug-75,,,,,,,,,,,,,,0.5994
19-Aug-75,,,,,,,,,,,,,,0.5992
20-Aug-75,,,,,,,,,,,,,,0.5976
21-Aug-75,,,,,,,,,,,,,,0.5996
22-Aug-75,,,,,,,,,,,,,,0.6004
26-Aug-75,,,,,,,,,,,,,,0.5978
27-Aug-75,,,,,,,,,,,,,,0.5974
28-Aug-75,,,,,,,,,,,,,,0.5971
29-Aug-75,,,,,,,,,,,,,,0.5963
01-Sep-75,,,,,,,,,,,,,,0.596
02-Sep-75,,,,,,,,,,,,,,0.5959
03-Sep-75,,,,,,,,,,,,,,0.5967
04-Sep-75,,,,,,,,,,,,,,0.5963
05-Sep-75,,,,,,,,,,,,,,0.5958
08-Sep-75,,,,,,,,,,,,,,0.5954
09-Sep-75,,,,,,,,,,,,,,0.5952
10-Sep-75,,,,,,,,,,,,,,0.5944
11-Sep-75,,,,,,,,,,,,,,0.5938
12-Sep-75,,,,,,,,,,,,,,0.5937
15-Sep-75,,,,,,,,,,,,,,0.5938
16-Sep-75,,,,,,,,,,,,,,0.5944
17-Sep-75,,,,,,,,,,,,,,0.5936
18-Sep-75,,,,,,,,,,,,,,0.5928
19-Sep-75,,,,,,,,,,,,,,0.5913
22-Sep-75,,,,,,,,,,,,,,0.5892
23-Sep-75,,,,,,,,,,,,,,0.5933
24-Sep-75,,,,,,,,,,,,,,0.5959
25-Sep-75,,,,,,,,,,,,,,0.5974
26-Sep-75,,,,,,,,,,,,,,0.5962
29-Sep-75,,,,,,,,,,,,,,0.5966
30-Sep-75,,,,,,,,,,,,,,0.5993
01-Oct-75,,,,,,,,,,,,,,0.6062
02-Oct-75,,,,,,,,,,,,,,0.6065
03-Oct-75,,,,,,,,,,,,,,0.6033
06-Oct-75,,,,,,,,,,,,,,0.605
07-Oct-75,,,,,,,,,,,,,,0.6082
08-Oct-75,,,,,,,,,,,,,,0.6063
09-Oct-75,,,,,,,,,,,,,,0.6064
10-Oct-75,,,,,,,,,,,,,,0.6082
13-Oct-75,,,,,,,,,,,,,,0.6102
14-Oct-75,,,,,,,,,,,,,,0.6081
15-Oct-75,,,,,,,,,,,,,,0.6102
16-Oct-75,,,,,,,,,,,,,,0.6124
17-Oct-75,,,,,,,,,,,,,,0.6112
20-Oct-75,,,,,,,,,,,,,,0.6099
21-Oct-75,,,,,,,,,,,,,,0.6105
22-Oct-75,,,,,,,,,,,,,,0.6088
23-Oct-75,,,,,,,,,,,,,,0.6099
24-Oct-75,,,,,,,,,,,,,,0.6095
27-Oct-75,,,,,,,,,,,,,,0.6087
28-Oct-75,,,,,,,,,,,,,,0.6083
29-Oct-75,,,,,,,,,,,,,,0.608
30-Oct-75,,,,,,,,,,,,,,0.6092
31-Oct-75,,,,,,,,,,,,,,0.608
03-Nov-75,,,,,,,,,,,,,,0.6096
04-Nov-75,,,,,,,,,,,,,,0.6092
05-Nov-75,,,,,,,,,,,,,,0.6088
06-Nov-75,,,,,,,,,,,,,,0.6091
07-Nov-75,,,,,,,,,,,,,,0.6106
10-Nov-75,,,,,,,,,,,,,,0.6094
11-Nov-75,,,,,,,,,,,,,,0.6093
12-Nov-75,,,,,,,,,,,,,,0.6096
13-Nov-75,,,,,,,,,,,,,,0.6101
14-Nov-75,,,,,,,,,,,,,,0.6108
17-Nov-75,,,,,,,,,,,,,,0.6091
18-Nov-75,,,,,,,,,,,,,,0.609
19-Nov-75,,,,,,,,,,,,,,0.6092
20-Nov-75,,,,,,,,,,,,,,0.6104
21-Nov-75,,,,,,,,,,,,,,0.6093
24-Nov-75,,,,,,,,,,,,,,0.6095
25-Nov-75,,,,,,,,,,,,,,0.6105
26-Nov-75,,,,,,,,,,,,,,0.6099
27-Nov-75,,,,,,,,,,,,,,0.6096
28-Nov-75,,,,,,,,,,,,,,0.6111
01-Dec-75,,,,,,,,,,,,,,0.6122
02-Dec-75,,,,,,,,,,,,,,0.613
03-Dec-75,,,,,,,,,,,,,,0.612
04-Dec-75,,,,,,,,,,,,,,0.611
05-Dec-75,,,,,,,,,,,,,,0.6112
08-Dec-75,,,,,,,,,,,,,,0.6121
09-Dec-75,,,,,,,,,,,,,,0.6104
10-Dec-75,,,,,,,,,,,,,,0.6104
11-Dec-75,,,,,,,,,,,,,,0.6109
12-Dec-75,,,,,,,,,,,,,,0.6109
15-Dec-75,,,,,,,,,,,,,,0.6099
16-Dec-75,,,,,,,,,,,,,,0.6097
17-Dec-75,,,,,,,,,,,,,,0.6095
18-Dec-75,,,,,,,,,,,,,,0.6111
19-Dec-75,,,,,,,,,,,,,,0.6131
22-Dec-75,,,,,,,,,,,,,,0.6125
23-Dec-75,,,,,,,,,,,,,,0.6127
24-Dec-75,,,,,,,,,,,,,,0.6131
29-Dec-75,,,,,,,,,,,,,,0.6111
30-Dec-75,,,,,,,,,,,,,,0.6103
31-Dec-75,,,,,,,,,,,,,,0.6108
02-Jan-76,,,,,,,,,,,,,,0.6105
05-Jan-76,,,,,,,,,,,,,,0.6114
06-Jan-76,,,,,,,,,,,,,,0.6121
07-Jan-76,,,,,,,,,,,,,,0.6114
08-Jan-76,,,,,,,,,,,,,,0.6111
09-Jan-76,,,,,,,,,,,,,,0.6109
12-Jan-76,,,,,,,,,,,,,,0.6104
13-Jan-76,,,,,,,,,,,,,,0.6115
14-Jan-76,,,,,,,,,,,,,,0.6118
15-Jan-76,,,,,,,,,,,,,,0.6116
16-Jan-76,,,,,,,,,,,,,,0.6108
19-Jan-76,,,,,,,,,,,,,,0.6096
20-Jan-76,,,,,,,,,,,,,,0.6091
21-Jan-76,,,,,,,,,,,,,,0.6076
22-Jan-76,,,,,,,,,,,,,,0.6054
23-Jan-76,,,,,,,,,,,,,,0.6056
26-Jan-76,,,,,,,,,,,,,,0.6058
27-Jan-76,,,,,,,,,,,,,,0.6058
28-Jan-76,,,,,,,,,,,,,,0.604
29-Jan-76,,,,,,,,,,,,,,0.6035
30-Jan-76,,,,,,,,,,,,,,0.6027
02-Feb-76,,,,,,,,,,,,,,0.6052
03-Feb-76,,,,,,,,,,,,,,0.604
04-Feb-76,,,,,,,,,,,,,,0.6049
05-Feb-76,,,,,,,,,,,,,,0.6054
06-Feb-76,,,,,,,,,,,,,,0.6049
09-Feb-76,,,,,,,,,,,,,,0.602
10-Feb-76,,,,,,,,,,,,,,0.6027
11-Feb-76,,,,,,,,,,,,,,0.6039
12-Feb-76,,,,,,,,,,,,,,0.6038
13-Feb-76,,,,,,,,,,,,,,0.6025
16-Feb-76,,,,,,,,,,,,,,0.6019
17-Feb-76,,,,,,,,,,,,,,0.6002
18-Feb-76,,,,,,,,,,,,,,0.6013
19-Feb-76,,,,,,,,,,,,,,0.6019
20-Feb-76,,,,,,,,,,,,,,0.6
23-Feb-76,,,,,,,,,,,,,,0.5991
24-Feb-76,,,,,,,,,,,,,,0.5989
25-Feb-76,,,,,,,,,,,,,,0.5986
26-Feb-76,,,,,,,,,,,,,,0.5993
27-Feb-76,,,,,,,,,,,,,,0.5988
01-Mar-76,,,,,,,,,,,,,,0.5968
02-Mar-76,,,,,,,,,,,,,,0.5957
03-Mar-76,,,,,,,,,,,,,,0.5961
04-Mar-76,,,,,,,,,,,,,,0.5969
05-Mar-76,,,,,,,,,,,,,,0.6057
08-Mar-76,,,,,,,,,,,,,,0.6191
09-Mar-76,,,,,,,,,,,,,,0.6196
10-Mar-76,,,,,,,,,,,,,,0.6243
11-Mar-76,,,,,,,,,,,,,,0.6258
12-Mar-76,,,,,,,,,,,,,,0.6207
15-Mar-76,,,,,,,,,,,,,,0.6176
16-Mar-76,,,,,,,,,,,,,,0.6171
17-Mar-76,,,,,,,,,,,,,,0.6134
18-Mar-76,,,,,,,,,,,,,,0.6145
19-Mar-76,,,,,,,,,,,,,,0.6178
22-Mar-76,,,,,,,,,,,,,,0.6187
23-Mar-76,,,,,,,,,,,,,,0.6167
24-Mar-76,,,,,,,,,,,,,,0.6163
25-Mar-76,,,,,,,,,,,,,,0.6179
26-Mar-76,,,,,,,,,,,,,,0.6176
29-Mar-76,,,,,,,,,,,,,,0.6189
30-Mar-76,,,,,,,,,,,,,,0.6213
31-Mar-76,,,,,,,,,,,,,,0.6217
01-Apr-76,,,,,,,,,,,,,,0.6321
02-Apr-76,,,,,,,,,,,,,,0.635
05-Apr-76,,,,,,,,,,,,,,0.6362
06-Apr-76,,,,,,,,,,,,,,0.6392
07-Apr-76,,,,,,,,,,,,,,0.6344
08-Apr-76,,,,,,,,,,,,,,0.643
09-Apr-76,,,,,,,,,,,,,,0.644
12-Apr-76,,,,,,,,,,,,,,0.6396
13-Apr-76,,,,,,,,,,,,,,0.6369
14-Apr-76,,,,,,,,,,,,,,0.638
15-Apr-76,,,,,,,,,,,,,,0.6382
20-Apr-76,,,,,,,,,,,,,,0.6407
21-Apr-76,,,,,,,,,,,,,,0.6427
22-Apr-76,,,,,,,,,,,,,,0.6464
23-Apr-76,,,,,,,,,,,,,,0.647
26-Apr-76,,,,,,,,,,,,,,0.6491
27-Apr-76,,,,,,,,,,,,,,0.6469
28-Apr-76,,,,,,,,,,,,,,0.6445
29-Apr-76,,,,,,,,,,,,,,0.6411
30-Apr-76,,,,,,,,,,,,,,0.6409
03-May-76,,,,,,,,,,,,,,0.6453
04-May-76,,,,,,,,,,,,,,0.6442
05-May-76,,,,,,,,,,,,,,0.6431
06-May-76,,,,,,,,,,,,,,0.6497
07-May-76,,,,,,,,,,,,,,0.6509
10-May-76,,,,,,,,,,,,,,0.6506
11-May-76,,,,,,,,,,,,,,0.6478
12-May-76,,,,,,,,,,,,,,0.6437
13-May-76,,,,,,,,,,,,,,0.6475
14-May-76,,,,,,,,,,,,,,0.6506
17-May-76,,,,,,,,,,,,,,0.651
18-May-76,,,,,,,,,,,,,,0.6495
19-May-76,,,,,,,,,,,,,,0.6516
20-May-76,,,,,,,,,,,,,,0.652
21-May-76,,,,,,,,,,,,,,0.6598
24-May-76,,,,,,,,,,,,,,0.6586
25-May-76,,,,,,,,,,,,,,0.6577
26-May-76,,,,,,,,,,,,,,0.6625
27-May-76,,,,,,,,,,,,,,0.6637
28-May-76,,,,,,,,,,,,,,0.6662
01-Jun-76,,,,,,,,,,,,,,0.6672
02-Jun-76,,,,,,,,,,,,,,0.6807
03-Jun-76,,,,,,,,,,,,,,0.6853
04-Jun-76,,,,,,,,,,,,,,0.6821
07-Jun-76,,,,,,,,,,,,,,0.6687
08-Jun-76,,,,,,,,,,,,,,0.6634
09-Jun-76,,,,,,,,,,,,,,0.6623
10-Jun-76,,,,,,,,,,,,,,0.6623
11-Jun-76,,,,,,,,,,,,,,0.6626
14-Jun-76,,,,,,,,,,,,,,0.6617
15-Jun-76,,,,,,,,,,,,,,0.6604
16-Jun-76,,,,,,,,,,,,,,0.6602
17-Jun-76,,,,,,,,,,,,,,0.6614
18-Jun-76,,,,,,,,,,,,,,0.6608
21-Jun-76,,,,,,,,,,,,,,0.6597
22-Jun-76,,,,,,,,,,,,,,0.6612
23-Jun-76,,,,,,,,,,,,,,0.6621
24-Jun-76,,,,,,,,,,,,,,0.6638
25-Jun-76,,,,,,,,,,,,,,0.6626
28-Jun-76,,,,,,,,,,,,,,0.6615
29-Jun-76,,,,,,,,,,,,,,0.6609
30-Jun-76,,,,,,,,,,,,,,0.659
01-Jul-76,,,,,,,,,,,,,,0.6561
02-Jul-76,,,,,,,,,,,,,,0.6554
05-Jul-76,,,,,,,,,,,,,,0.6546
06-Jul-76,,,,,,,,,,,,,,0.6516
07-Jul-76,,,,,,,,,,,,,,0.652
08-Jul-76,,,,,,,,,,,,,,0.6552
09-Jul-76,,,,,,,,,,,,,,0.6599
12-Jul-76,,,,,,,,,,,,,,0.6557
13-Jul-76,,,,,,,,,,,,,,0.6555
14-Jul-76,,,,,,,,,,,,,,0.6591
15-Jul-76,,,,,,,,,,,,,,0.6582
16-Jul-76,,,,,,,,,,,,,,0.6584
19-Jul-76,,,,,,,,,,,,,,0.6572
20-Jul-76,,,,,,,,,,,,,,0.6557
21-Jul-76,,,,,,,,,,,,,,0.655
22-Jul-76,,,,,,,,,,,,,,0.6538
23-Jul-76,,,,,,,,,,,,,,0.655
26-Jul-76,,,,,,,,,,,,,,0.6561
27-Jul-76,,,,,,,,,,,,,,0.6555
28-Jul-76,,,,,,,,,,,,,,0.6534
29-Jul-76,,,,,,,,,,,,,,0.6574
30-Jul-76,,,,,,,,,,,,,,0.6585
02-Aug-76,,,,,,,,,,,,,,0.6584
03-Aug-76,,,,,,,,,,,,,,0.6573
04-Aug-76,,,,,,,,,,,,,,0.6563
05-Aug-76,,,,,,,,,,,,,,0.6567
06-Aug-76,,,,,,,,,,,,,,0.6558
09-Aug-76,,,,,,,,,,,,,,0.6557
10-Aug-76,,,,,,,,,,,,,,0.6551
11-Aug-76,,,,,,,,,,,,,,0.6559
12-Aug-76,,,,,,,,,,,,,,0.6562
13-Aug-76,,,,,,,,,,,,,,0.6587
16-Aug-76,,,,,,,,,,,,,,0.6598
17-Aug-76,,,,,,,,,,,,,,0.6606
18-Aug-76,,,,,,,,,,,,,,0.6613
19-Aug-76,,,,,,,,,,,,,,0.6616
20-Aug-76,,,,,,,,,,,,,,0.6608
23-Aug-76,,,,,,,,,,,,,,0.6619
24-Aug-76,,,,,,,,,,,,,,0.6647
25-Aug-76,,,,,,,,,,,,,,0.6657
26-Aug-76,,,,,,,,,,,,,,0.6664
27-Aug-76,,,,,,,,,,,,,,0.6664
31-Aug-76,,,,,,,,,,,,,,0.6643
01-Sep-76,,,,,,,,,,,,,,0.6666
02-Sep-76,,,,,,,,,,,,,,0.6664
03-Sep-76,,,,,,,,,,,,,,0.6666
06-Sep-76,,,,,,,,,,,,,,0.6665
07-Sep-76,,,,,,,,,,,,,,0.6673
08-Sep-76,,,,,,,,,,,,,,0.6678
09-Sep-76,,,,,,,,,,,,,,0.6776
10-Sep-76,,,,,,,,,,,,,,0.6754
13-Sep-76,,,,,,,,,,,,,,0.6777
14-Sep-76,,,,,,,,,,,,,,0.6822
15-Sep-76,,,,,,,,,,,,,,0.6882
16-Sep-76,,,,,,,,,,,,,,0.6847
17-Sep-76,,,,,,,,,,,,,,0.6879
20-Sep-76,,,,,,,,,,,,,,0.6944
21-Sep-76,,,,,,,,,,,,,,0.6943
22-Sep-76,,,,,,,,,,,,,,0.6965
23-Sep-76,,,,,,,,,,,,,,0.6962
24-Sep-76,,,,,,,,,,,,,,0.6991
27-Sep-76,,,,,,,,,,,,,,0.7082
28-Sep-76,,,,,,,,,,,,,,0.7169
29-Sep-76,,,,,,,,,,,,,,0.7182
30-Sep-76,,,,,,,,,,,,,,0.7183
01-Oct-76,,,,,,,,,,,,,,0.7184
04-Oct-76,,,,,,,,,,,,,,0.7148
05-Oct-76,,,,,,,,,,,,,,0.7223
06-Oct-76,,,,,,,,,,,,,,0.7313
07-Oct-76,,,,,,,,,,,,,,0.7201
08-Oct-76,,,,,,,,,,,,,,0.7217
11-Oct-76,,,,,,,,,,,,,,0.7229
12-Oct-76,,,,,,,,,,,,,,0.7254
13-Oct-76,,,,,,,,,,,,,,0.7256
14-Oct-76,,,,,,,,,,,,,,0.732
15-Oct-76,,,,,,,,,,,,,,0.7251
18-Oct-76,,,,,,,,,,,,,,0.7194
19-Oct-76,,,,,,,,,,,,,,0.7239
20-Oct-76,,,,,,,,,,,,,,0.7289
21-Oct-76,,,,,,,,,,,,,,0.7271
22-Oct-76,,,,,,,,,,,,,,0.7267
25-Oct-76,,,,,,,,,,,,,,0.7547
26-Oct-76,,,,,,,,,,,,,,0.7484
27-Oct-76,,,,,,,,,,,,,,0.761
28-Oct-76,,,,,,,,,,,,,,0.7689
29-Oct-76,,,,,,,,,,,,,,0.7591
01-Nov-76,,,,,,,,,,,,,,0.7583
02-Nov-76,,,,,,,,,,,,,,0.755
03-Nov-76,,,,,,,,,,,,,,0.752
04-Nov-76,,,,,,,,,,,,,,0.7338
05-Nov-76,,,,,,,,,,,,,,0.7338
08-Nov-76,,,,,,,,,,,,,,0.7431
09-Nov-76,,,,,,,,,,,,,,0.7374
10-Nov-76,,,,,,,,,,,,,,0.7352
11-Nov-76,,,,,,,,,,,,,,0.7392
12-Nov-76,,,,,,,,,,,,,,0.7396
15-Nov-76,,,,,,,,,,,,,,0.7311
16-Nov-76,,,,,,,,,,,,,,0.7302
17-Nov-76,,,,,,,,,,,,,,0.7247
18-Nov-76,,,,,,,,,,,,,,0.7211
19-Nov-76,,,,,,,,,,,,,,0.7132
22-Nov-76,,,,,,,,,,,,,,0.7319
23-Nov-76,,,,,,,,,,,,,,0.7289
24-Nov-76,,,,,,,,,,,,,,0.7314
25-Nov-76,,,,,,,,,,,,,,0.7317
26-Nov-76,,,,,,,,,,,,,,0.73
29-Nov-76,,,,,,,,,,,,,,0.7314
30-Nov-76,,,,,,,,,,,,,,0.7282
01-Dec-76,,,,,,,,,,,,,,0.7231
02-Dec-76,,,,,,,,,,,,,,0.7222
03-Dec-76,,,,,,,,,,,,,,0.7242
06-Dec-76,,,,,,,,,,,,,,0.7279
07-Dec-76,,,,,,,,,,,,,,0.7207
08-Dec-76,,,,,,,,,,,,,,0.7214
09-Dec-76,,,,,,,,,,,,,,0.7222
10-Dec-76,,,,,,,,,,,,,,0.7224
13-Dec-76,,,,,,,,,,,,,,0.718
14-Dec-76,,,,,,,,,,,,,,0.7203
15-Dec-76,,,,,,,,,,,,,,0.7183
16-Dec-76,,,,,,,,,,,,,,0.7271
17-Dec-76,,,,,,,,,,,,,,0.7247
20-Dec-76,,,,,,,,,,,,,,0.7223
21-Dec-76,,,,,,,,,,,,,,0.7221
22-Dec-76,,,,,,,,,,,,,,0.7216
23-Dec-76,,,,,,,,,,,,,,0.7212
24-Dec-76,,,,,,,,,,,,,,0.7192
29-Dec-76,,,,,,,,,,,,,,0.7146
30-Dec-76,,,,,,,,,,,,,,0.7161
31-Dec-76,,,,,,,,,,,,,,0.7151
04-Jan-77,,,,,,,,,,,,,,0.7157
05-Jan-77,,,,,,,,,,,,,,0.7136
06-Jan-77,,,,,,,,,,,,,,0.7146
07-Jan-77,,,,,,,,,,,,,,0.7121
