DATE,IUM2WDT,IUM5WTL,IUMB6RH,IUMB6RI,IUMB6VJ,IUMB6VK,IUMB6VL,IUMB6VM,IUMB6VN,IUMBV24,IUMBV48,IUMCCTL,IUMODTL,IUMTHAK,IUMTLMV,IUMWTFA,IUMWTIS,IUMWTTA,IUMZICQ,IUMZID2
31-Dec-11,..,..,3.27,3.71,1.52,0.54,2.41,1.41,2.59,3.38,3.02,17.29,19.47,0.31,4.12,2.61,0.61,1.6,,
31-Jan-12,..,..,3.3,3.85,1.54,0.48,2.41,1.42,2.6,3.57,3.2,17.32,19.5,0.21,4.18,2.48,0.61,1.27,2.76,3.45
29-Feb-12,..,..,3.28,3.71,1.55,0.48,2.57,1.54,2.51,3.5,3.24,17.31,19.51,0.21,4.14,2.51,0.65,1.3,3.02,3.42
31-Mar-12,..,..,3.18,3.63,1.54,0.48,2.83,1.52,2.77,3.57,3.26,17.31,19.51,0.22,4.1,2.49,0.65,1.34,3.03,3.68
30-Apr-12,..,..,3.25,3.7,1.54,0.48,2.84,1.51,2.78,3.6,3.41,17.25,19.51,0.22,4.1,2.71,0.66,1.38,3.15,3.68
31-May-12,..,..,3.2,3.62,1.53,0.48,2.7,1.5,2.72,3.6,3.53,17.26,19.51,0.22,4.16,2.73,0.66,1.1,3.22,3.5
30-Jun-12,..,..,3.24,3.67,1.55,0.48,2.57,1.42,2.66,3.65,3.53,17.25,19.51,0.22,4.22,2.76,0.66,1.05,3.27,3.33
31-Jul-12,..,..,3.17,3.62,1.55,0.48,2.57,1.41,2.63,3.62,3.51,17.26,19.53,0.22,4.24,2.66,0.66,1.31,3.14,3.22
31-Aug-12,..,..,3.08,3.66,1.53,0.48,2.52,1.41,2.53,3.64,3.54,17.26,19.53,0.22,4.27,2.51,0.66,1.51,3.09,3.11
30-Sep-12,..,..,2.86,3.37,1.53,0.48,2.39,1,2.54,3.59,3.52,17.25,19.52,0.27,4.29,2.49,0.67,1.77,2.99,2.98
31-Oct-12,..,..,2.71,3.1,1.42,0.48,2.21,1.27,2.34,3.64,3.49,17.33,19.65,0.27,4.32,2.32,0.66,..,2.6,2.7
30-Nov-12,..,..,2.49,2.99,1.08,0.47,2.03,1.26,2.2,3.66,3.47,17.32,19.65,0.26,4.32,2.2,0.59,..,2.45,2.58
31-Dec-12,..,..,2.45,2.75,1.06,0.48,1.85,0.88,2.16,3.66,3.44,17.33,19.65,0.26,4.35,2.18,0.65,1.69,2.5,2.44
31-Jan-13,..,..,2.3,2.6,1.05,0.54,1.78,0.85,2.02,3.57,3.36,17.61,19.55,..,4.38,1.91,..,..,2.38,2.31
28-Feb-13,..,..,2.29,2.55,1.03,0.51,1.84,0.84,2.01,3.59,3.09,17.69,19.55,,4.38,1.98,,,2.34,2.37
31-Mar-13,..,..,2.15,2.23,0.98,0.55,1.94,0.81,2.01,3.56,3.08,17.69,19.54,,4.34,1.75,,,2.26,2.48
30-Apr-13,..,..,1.92,2.25,0.98,0.55,1.9,0.81,1.9,3.55,2.98,17.71,19.54,,4.35,1.73,,,2.25,2.11
31-May-13,..,..,1.93,2.21,0.83,0.56,1.4,0.69,1.74,3.55,2.93,17.85,19.55,,4.38,1.69,,,2.16,2.14
30-Jun-13,..,..,1.72,2.01,0.83,0.56,1.32,0.68,1.78,3.56,2.91,17.84,19.55,,4.38,1.49,,,2.09,2.15
31-Jul-13,..,..,1.95,2.32,0.76,0.45,1.26,0.61,1.75,3.28,2.85,17.89,19.55,,4.37,1.62,,,2.07,2.07
31-Aug-13,..,..,1.93,2.29,0.76,0.44,1.26,0.62,1.74,3.26,2.8,17.87,19.54,,4.36,1.56,,,2.07,2.02
30-Sep-13,..,..,1.87,2.21,0.75,0.44,1.26,0.61,1.67,3.19,2.97,17.88,19.54,,4.35,1.5,,,2,1.95
31-Oct-13,..,..,2.01,2.32,0.75,0.44,1.26,0.67,1.61,3.14,2.91,17.88,19.54,,4.37,1.47,,,1.98,1.93
30-Nov-13,..,5.32,1.98,2.27,0.75,0.44,1.17,0.68,1.54,3.03,2.83,18.13,19.54,,4.41,1.47,,,1.95,1.91
31-Dec-13,..,5.35,1.81,2.14,0.82,0.51,1.09,0.6,1.5,2.92,2.77,18.14,19.54,,4.39,1.47,,,1.95,1.75
31-Jan-14,..,5.44,1.67,2.03,0.76,0.47,1.17,0.6,1.5,2.96,2.76,18.17,19.54,,4.41,1.46,,,1.88,1.67
28-Feb-14,..,5.45,1.7,2.01,0.73,0.49,1.18,0.89,1.5,2.83,2.82,18.31,19.55,,4.43,1.42,,,1.87,1.68
31-Mar-14,..,5.46,1.66,1.97,0.73,0.49,1.4,0.98,1.55,2.81,2.68,17.31,19.54,,4.43,1.45,,,1.9,1.94
30-Apr-14,..,5.55,1.63,1.92,0.73,0.49,1.31,0.89,1.54,2.8,2.73,17.32,19.54,,4.43,1.37,,,2.07,1.9
31-May-14,..,5.57,1.62,1.97,0.73,0.49,1.19,0.93,1.48,2.84,2.72,17.37,19.61,,4.42,1.24,,,2.11,1.8
30-Jun-14,..,5.58,1.61,1.99,0.72,0.48,1.17,0.9,1.49,2.76,2.71,17.36,19.66,,4.36,1.27,,,2.19,1.75
31-Jul-14,..,5.58,1.52,2.04,0.62,0.43,1.19,0.89,1.5,2.91,2.74,17.37,19.67,,4.45,1.23,,,2.24,1.76
31-Aug-14,..,5.58,1.52,1.99,0.62,0.43,1.09,0.84,1.5,2.88,2.74,17.39,19.67,,4.45,1.22,,,2.19,1.71
30-Sep-14,..,5.63,1.54,2.08,0.62,0.42,1.09,0.85,1.5,2.94,2.44,17.47,19.67,,4.52,1.25,,,2.08,1.68
31-Oct-14,..,5.58,1.6,2,0.63,0.44,1.09,0.85,1.49,2.94,1.88,17.54,19.67,,4.53,1.27,,,1.94,1.71
30-Nov-14,..,5.52,1.57,2.04,0.57,0.42,1.09,0.84,1.46,2.97,1.81,17.81,19.67,,4.49,1.36,,,1.95,1.7
31-Dec-14,..,5.43,1.55,2.04,0.57,0.42,1.05,0.84,1.41,2.89,1.6,17.75,19.66,,4.48,1.34,,,1.9,1.62
31-Jan-15,..,5.06,1.48,1.93,0.55,0.38,1.02,0.84,1.43,2.88,1.6,17.85,19.67,,4.56,1.28,,,1.81,1.59
28-Feb-15,..,5.02,1.45,1.82,0.56,0.38,1.02,0.83,1.41,2.51,1.61,17.85,19.67,,4.51,1.26,,,1.67,1.56
31-Mar-15,..,4.98,1.43,1.87,0.56,0.38,1.02,0.82,1.41,2.52,1.56,17.84,19.67,,4.51,1.23,,,1.59,1.57
30-Apr-15,..,4.98,1.43,1.79,0.56,0.38,1.03,0.82,1.41,2.6,1.55,17.85,19.67,,4.53,1.21,,,1.65,1.56
31-May-15,..,4.96,1.39,1.76,0.56,0.4,1.01,0.87,1.4,2.57,1.56,17.87,19.67,,4.55,1.18,,,1.64,1.52
30-Jun-15,..,4.96,1.51,1.97,0.54,0.38,1.01,0.86,1.46,2.59,1.66,17.84,19.67,,4.49,1.32,,,1.6,1.48
31-Jul-15,..,4.97,1.56,2.01,0.54,0.39,1.01,0.87,1.43,2.58,1.7,17.9,19.67,,4.5,1.34,,,1.6,1.62
31-Aug-15,..,4.97,1.55,2.07,0.55,0.39,1.01,0.88,1.51,2.62,1.72,17.91,19.67,,4.48,1.32,,,1.65,1.62
30-Sep-15,..,4.88,1.54,2.09,0.54,0.39,0.98,0.79,1.52,2.56,1.74,17.93,19.68,,4.5,1.32,,,1.64,1.64
31-Oct-15,..,4.89,1.46,2.03,0.54,0.39,0.99,0.77,1.39,2.55,1.78,17.95,19.67,,4.54,1.27,,,1.63,1.64
30-Nov-15,..,4.85,1.35,2.08,0.54,0.39,0.99,0.77,1.38,2.59,1.78,17.94,19.68,,4.49,1.28,,,1.67,1.48
31-Dec-15,..,4.82,1.31,2.02,0.48,0.38,0.85,0.68,1.17,2.6,1.78,17.93,19.7,,4.49,1.16,,,1.7,1.35
31-Jan-16,..,4.71,1.24,1.95,0.47,0.37,0.86,0.79,1.4,2.43,1.68,17.96,19.67,,4.56,1.08,,,1.7,1.54
29-Feb-16,..,4.7,1.12,1.67,0.46,0.33,0.91,0.84,1.38,2.44,1.68,17.94,19.67,,4.58,1.07,,,1.68,1.22
31-Mar-16,..,4.68,1.08,1.61,0.46,0.33,0.87,0.76,1.26,2.3,1.67,17.94,19.67,,4.57,1.04,,,1.62,1.24
30-Apr-16,..,4.71,1.15,1.57,0.44,0.3,0.92,0.8,1.1,2.34,1.67,17.96,19.67,,4.64,0.87,,,1.67,1.26
31-May-16,..,4.68,1.2,1.64,0.4,0.3,0.87,0.8,1.07,2.43,1.61,17.93,19.67,,4.56,0.91,,,1.7,1.16
30-Jun-16,..,4.65,1.35,1.59,0.4,0.31,0.85,0.8,1.07,2.43,1.62,17.94,19.68,,4.52,0.98,,,1.71,1.16
31-Jul-16,..,4.65,1.2,1.44,0.34,0.3,0.81,0.78,1.06,2.43,1.72,17.96,19.68,,4.55,0.93,,,1.73,1.07
31-Aug-16,..,4.64,1.11,1.27,0.28,0.25,0.7,0.67,1.09,2.18,1.52,17.93,19.71,,4.3,0.86,,,1.59,0.94
30-Sep-16,..,4.62,1,1.26,0.28,0.25,0.65,0.63,0.8,2.2,1.54,17.94,19.7,,4.24,0.79,,,1.44,0.84
31-Oct-16,..,4.56,0.94,1.04,0.26,0.22,0.64,0.63,0.85,2.2,1.52,17.95,19.7,,4.24,0.68,,,1.37,0.9
30-Nov-16,..,4.6,0.95,1.21,0.25,0.22,0.59,0.59,0.9,2.29,1.51,17.96,19.71,,4.28,0.7,,,1.31,0.78
31-Dec-16,..,4.6,1,1.23,0.15,0.12,0.49,0.46,0.85,2.29,1.48,17.96,19.7,,4.23,0.64,,,1.34,0.71
31-Jan-17,..,4.58,0.85,1.15,0.15,0.13,0.4,0.4,0.89,2.3,1.49,17.96,19.71,,4.49,0.6,,,1.33,0.82
28-Feb-17,..,4.62,0.78,1.19,0.15,0.13,0.44,0.42,0.91,2.31,1.48,17.96,19.7,,4.37,0.67,,,1.35,0.9
31-Mar-17,..,4.7,0.85,1.22,0.15,0.13,0.43,0.41,0.74,2.31,1.42,17.96,19.7,,4.28,0.62,,,1.28,0.93
30-Apr-17,..,4.7,0.9,1.19,0.15,0.13,0.45,0.42,0.99,2.33,1.39,17.97,19.7,,4.54,0.66,,,1.24,0.98
31-May-17,..,4.72,1,1.43,0.15,0.13,0.41,0.39,0.96,2.34,1.46,17.89,19.71,,4.23,0.73,,,1.29,0.76
30-Jun-17,..,4.74,1.05,1.62,0.15,0.12,0.34,0.33,0.98,..,1.42,17.96,19.71,,4.28,0.73,,,1.38,0.91
31-Jul-17,..,4.67,1.08,1.6,0.14,0.12,0.33,0.32,0.97,..,1.38,17.96,19.71,,4.51,0.79,,,1.23,1
31-Aug-17,..,4.63,1.16,1.78,0.14,0.12,0.35,0.34,1.11,..,1.39,17.96,19.72,,4.32,0.86,,,1.24,1.1
30-Sep-17,..,4.68,1.26,1.62,0.14,0.11,0.3,0.29,1.19,..,1.46,17.97,19.72,,4.31,0.78,,,1.22,1.14
31-Oct-17,..,4.71,1.16,1.49,0.12,0.09,0.27,0.27,1.42,..,1.46,17.95,19.72,,4.31,0.74,,,1.44,1.5
